--- [2021-08-09 10:29:42.446628] ---
[2021-08-09 10:29:43.843393] Pressed Key.shift
[2021-08-09 10:29:43.932133] Pressed 'P'
[2021-08-09 10:29:44.045450] Pressed 'R'
[2021-08-09 10:29:44.123675] Pressed 'E'
[2021-08-09 10:29:44.155288] Released 'P'
[2021-08-09 10:29:44.170955] Released 'R'
[2021-08-09 10:29:44.236005] Released 'E'
[2021-08-09 10:29:44.348251] Pressed 'F'
[2021-08-09 10:29:44.366472] Pressed 'S'
[2021-08-09 10:29:44.443071] Released Key.shift
[2021-08-09 10:29:44.479086] Released 'f'
[2021-08-09 10:29:44.515370] Pressed Key.space
[2021-08-09 10:29:44.532615] Released 's'
[2021-08-09 10:29:44.668474] Pressed 'p'
[2021-08-09 10:29:44.679824] Released Key.space
[2021-08-09 10:29:44.787078] Released 'p'
[2021-08-09 10:29:44.952036] Pressed 'y'
[2021-08-09 10:29:45.028269] Released 'y'
[2021-08-09 10:29:45.072851] Pressed 't'
[2021-08-09 10:29:45.131934] Pressed 'h'
[2021-08-09 10:29:45.194714] Released 't'
[2021-08-09 10:29:45.218978] Released 'h'
[2021-08-09 10:29:45.339259] Pressed 'o'
[2021-08-09 10:29:45.411199] Released 'o'
[2021-08-09 10:29:45.676419] Pressed 'n'
[2021-08-09 10:29:45.787570] Released 'n'
[2021-08-09 10:29:45.878211] Pressed Key.space
[2021-08-09 10:29:46.014528] Pressed 'l'
[2021-08-09 10:29:46.084008] Released Key.space
[2021-08-09 10:29:46.102886] Released 'l'
[2021-08-09 10:29:46.264309] Pressed 'i'
[2021-08-09 10:29:46.419801] Pressed 'r'
[2021-08-09 10:29:46.439526] Released 'i'
[2021-08-09 10:29:46.515397] Released 'r'
[2021-08-09 10:29:46.573239] Pressed 'a'
[2021-08-09 10:29:46.653008] Pressed 'r'
[2021-08-09 10:29:46.701838] Released 'a'
[2021-08-09 10:29:46.788077] Released 'r'
[2021-08-09 10:29:46.795654] Pressed 'y'
[2021-08-09 10:29:46.894392] Released 'y'
[2021-08-09 10:29:46.989519] Pressed Key.space
[2021-08-09 10:29:47.140382] Pressed 'i'
[2021-08-09 10:29:47.149615] Released Key.space
[2021-08-09 10:29:47.268786] Pressed 's'
[2021-08-09 10:29:47.298943] Released 'i'
[2021-08-09 10:29:47.419136] Released 's'
[2021-08-09 10:29:48.147977] Pressed Key.space
[2021-08-09 10:29:48.334474] Released Key.space
[2021-08-09 10:29:48.363028] Pressed 'v'
[2021-08-09 10:29:48.474743] Released 'v'
[2021-08-09 10:29:48.548766] Pressed 'e'
[2021-08-09 10:29:48.619077] Pressed 'r'
[2021-08-09 10:29:48.676064] Released 'e'
[2021-08-09 10:29:48.715058] Pressed 'y'
[2021-08-09 10:29:48.758107] Released 'r'
[2021-08-09 10:29:48.794769] Released 'y'
[2021-08-09 10:29:48.806713] Pressed Key.space
[2021-08-09 10:29:48.962777] Released Key.space
[2021-08-09 10:29:48.977136] Pressed 'u'
[2021-08-09 10:29:49.138792] Released 'u'
[2021-08-09 10:29:49.387022] Pressed 's'
[2021-08-09 10:29:49.518687] Pressed 'e'
[2021-08-09 10:29:49.567937] Released 's'
[2021-08-09 10:29:49.619401] Released 'e'
[2021-08-09 10:29:49.707730] Pressed 'f'
[2021-08-09 10:29:49.831805] Pressed 'u'
[2021-08-09 10:29:49.844807] Released 'f'
[2021-08-09 10:29:49.923063] Released 'u'
[2021-08-09 10:29:50.031202] Pressed 'l'
[2021-08-09 10:29:50.186887] Released 'l'
[2021-08-09 10:29:50.891283] Pressed Key.esc
[2021-08-09 10:29:51.026920] Released Key.esc
